#  RA  Dec  l  b
210.471  37.3794  431.961  71.9694
208.807  33.7308  422.48  74.7705
210.609  56.8661  464.76  57.6877
210.592  31.1149  411.587  74.0241
212.043  8.41755  350.628  63.9304
209.346  8.35772  345.723  65.59
208.37  14.589  355.083  70.8705
211.201  16.0047  363.493  69.6773
209.455  7.39739  344.546  64.7594
209.946  19.7585  371.351  72.7015
212.233  16.2832  365.764  69.0295
210.128  26.0953  393.017  74.5386
211.157  22.8261  382.398  72.8833
210.827  11.1344  352.953  66.7371
210.699  11.8398  353.991  67.3285
208.039  12.6309  350.34  69.6952
210.291  29.792  406.889  74.4611
206.205  41.1858  448.362  72.1693
210.937  34.5004  422.793  72.8488
210.406  35.5444  426.629  72.8507
210.858  43.1997  445.382  68.3058
212.22  50.6536  456.092  62.2485
209.693  24.7694  387.835  74.6932
208.132  36.3579  432.182  74.1004
211.656  -2.74889  337.108  55.0534
210.663  43.0366  445.311  68.5203
210.138  41.9801  443.818  69.5107
209.984  42.8398  445.837  69.0202
212.971  -19.552  327.722  39.4147
211.825  15.6753  363.745  68.9983
208.413  24.0498  383.999  75.6485
210.571  38.6552  435.294  71.2424
213.762  51.4957  455.674  60.9803
213.054  33.4836  417.894  71.4823
208.648  32.6989  418.899  75.2446
212.019  47.2563  451.266  64.8863
211.534  -7.04725  333.497  51.3357
211.931  42.7176  443.026  68.0213
210.546  62.1379  469.255  53.0726
209.771  50.6039  458.727  63.2275
211.667  54.0658  460.883  59.7248
212.225  37.6573  430.66  70.6134
214.56  44.7689  444.081  65.2575
209.537  32.3803  416.89  74.6196
212.944  32.292  414.269  71.8403
210.475  7.13391  346.04  63.9378
208.698  36.3479  431.313  73.7125
213.441  13.1414  360.991  66.2104
210.2  54.4517  462.728  59.8729
212.435  9.36419  352.752  64.3646
211.342  19.2477  371.922  71.3009
210.735  9.23014  349.615  65.3948
210.436  28.4458  401.852  74.4087
210.196  5.01615  342.763  62.3963
212.262  23.9294  386.883  72.2215
212.43  30.0546  407.215  72.5909
209.871  50.5824  458.586  63.2087
207.342  41.4386  446.924  71.4006
211.069  34.807  423.627  72.6376
212.095  35.8312  425.696  71.4782
210.551  50.3847  457.552  63.1141
209.608  41.859  444.306  69.8866
210.974  38.1986  433.571  71.2138
211.593  36.4961  428.133  71.5789
211.295  20.7178  376.043  71.9945
209.706  37.7193  433.924  72.317
209.316  -3.46338  332.899  55.5302
211.119  52.7387  459.889  61.0003
213.075  45.1441  446.4  65.8254
211.301  50.3473  456.666  62.8531
210.146  38.4132  435.219  71.6527
212.01  44.6769  446.787  66.6991
211.439  56.7847  463.957  57.5222
208.452  47.9742  456.811  65.8693
212.209  2.47044  343.141  59.159
208.012  29.7992  407.825  76.425
212.327  32.3046  414.652  72.3482
211.134  19.1188  371.273  71.4118
212.39  18.8346  372.246  70.2335
210.907  48.0854  453.878  64.769
210.352  56.2162  464.367  58.3195
211.501  55.7719  462.88  58.3593
209.764  30.6354  410.265  74.8046
212.394  43.3364  443.727  67.368
211.228  33.8757  420.524  72.8283
210.986  40.5777  439.512  69.889
209.063  31.9692  415.774  75.1144
212.468  33.9059  419.604  71.8374
211.437  42.9853  444.197  68.1284
207.768  37.4861  436.164  73.7261
211.568  24.0722  386.821  72.8709
212.207  5.54509  346.86  61.6254
210.953  27.9238  399.948  73.9491
210.188  7.14482  345.54  64.12
211.359  5.99438  346.033  62.499
211.983  38.5377  433.248  70.3598
210.824  48.5058  454.607  64.4822
210.074  48.758  455.874  64.5958
209.495  32.3712  416.893  74.6562
210.624  -12.1969  328.886  47.0613
209.226  24.309  385.745  74.9991
210.674  23.4381  383.955  73.4906
210.899  14.0155  358.603  68.6665
212.147  34.5583  421.861  71.8908
213.232  20.7853  378.483  70.3611
212.403  39.324  434.749  69.6801
207.468  16.8934  358.794  73.0496
211.753  36.9522  429.249  71.2659
210.055  40.0156  439.431  70.7943
210.938  9.73956  350.792  65.6434
212.869  8.19369  351.652  63.2164
210.389  39.2253  437.007  71.0458
210.273  46.6248  452.365  66.1559
208.73  43.7916  449.517  68.9899
208.421  38.2611  437.314  72.856
209.846  41.3242  442.785  70.103
212.235  23.9888  387.052  72.2596
210.405  35.2196  425.62  72.9834
209.123  42.1585  445.658  69.9491
208.741  12.1259  350.813  68.8597
208.013  36.6004  433.117  74.0545
210.05  17.92  366.353  71.6744
205.95  36.5719  436.586  75.4374
208.993  41.2521  443.874  70.6342
211.3  37.7913  432.078  71.195
