#  RA  Dec  l  b
203.869  1.21412  326.935  62.0152
204.634  5.15148  332.056  65.324
205.87  -28.3848  316.6  33.101
206.988  -51.5426  311.802  10.3522
206.769  -41.5159  313.979  20.1584
204.86  -28.2937  315.591  33.3945
203.665  -11.4587  319.539  50.0135
206.225  28.3046  41.6955  78.1158
206.191  -42.5549  313.289  19.241
204.879  -44.158  311.956  17.8689
204.748  -5.87261  323.885  55.052
204.087  -31.9616  313.915  29.9499
207.295  -24.709  319.249  36.3255
208.356  10.718  347.522  68.0444
205.562  23.9668  20.3128  78.1183
204.548  1.89864  328.836  62.3946
203.471  -2.72118  323.502  58.4444
207.859  -38.1722  315.714  23.2048
207.775  -12.0998  325.102  48.1861
205.022  -19.4749  318.41  41.9292
203.197  -6.07436  321.202  55.3232
204.657  5.83904  332.84  65.9311
205.049  -31.7346  314.892  30.0015
205.223  -18.8505  318.873  42.4844
202.075  -22.9972  313.873  39.0895
206.222  -32.9114  315.695  28.6313
205.957  -50.6526  311.351  11.3599
203.34  0.564079  325.402  61.5926
207.696  -26.1946  319.172  34.7976
203.792  -20.4071  316.61  41.2995
204.746  -43.776  311.935  18.2623
205.56  -54.1549  310.394  7.97828
205.323  8.91069  338.144  68.3038
202.915  -55.0814  308.708  7.338
202.734  -47.2614  309.847  15.0786
203.509  -65.1782  307.379  -2.67564
209.039  -48.7167  313.791  12.7846
208.527  -36.2402  316.823  24.9344
205.271  -55.0945  310.044  7.08941
203.876  -54.8928  309.287  7.43352
207.754  -7.10117  327.912  52.8556
204.725  20.4911  3.99481  77.2869
207.83  -0.746051  332.667  58.6242
206.379  -30.3098  316.561  31.1259
206.171  -43.8948  312.968  17.936
207.618  -14.5813  323.672  45.8988
205.088  -14.5505  320.307  46.6636
205.609  -43.234  312.696  18.668
206.299  -20.6323  319.545  40.498
205.362  -50.2331  311.058  11.8471
204.007  14.0488  343.637  73.2889
203.073  -4.67063  321.704  56.704
207.548  -7.86421  327.131  52.2244
207.887  -28.9417  318.462  32.1098
206.095  19.2026  2.60325  75.4943
205.982  -44.7541  312.637  17.1254
207.073  -28.5457  317.772  32.6814
209.247  -45.0945  314.898  16.2477
206.193  26.8615  34.6806  78.1214
204.261  -30.1829  314.506  31.661
205.102  -35.3478  314.064  26.4623
206.902  -45.0085  313.244  16.7347
207.385  -18.6586  321.603  42.096
204.834  -36.6144  313.536  25.2683
204.577  9.48493  337.218  69.1744
207.185  -37.82  315.247  23.6767
208.369  -11.8473  326.052  48.2187
206.305  -11.3863  323.4  49.3352
204.538  5.65693  332.382  65.8206
204.938  -11.1123  321.554  50.0037
203.838  20.727  2.7186  78.1064
207.032  -35.4416  315.749  26.0143
208.929  -34.642  317.651  26.3848
205.184  -60.7382  308.915  1.55876
205.666  26.6186  33.284  78.5703
202.727  -48.3441  309.666  14.0102
207.291  -43.3833  313.92  18.2525
202.121  -8.20007  318.476  53.5493
209.459  -31.827  319.03  28.9596
205.165  -0.101642  328.411  60.3114
206.839  -11.0734  324.317  49.4615
206.699  -36.1101  315.28  25.4298
204.392  -4.1308  324.29  56.815
207.486  -35.6204  316.098  25.7501
203.988  -51.7382  309.907  10.5289
204.949  -33.1367  314.452  28.6502
207.151  -22.2197  319.964  38.753
205.5  -9.69243  323.057  51.192
202.317  -59.3189  307.741  3.19847
204.793  19.745  1.43204  76.8063
205.284  -2.06483  327.185  58.4462
203.514  -36.2652  312.457  25.8163
205.638  -12.8594  321.774  48.1327
205.069  -38.1611  313.389  23.7162
205.193  -26.9206  316.313  34.6652
209.07  -19.0416  323.466  41.2293
206.882  -27.0258  318.051  34.193
205.473  -9.79297  322.967  51.1047
206.113  -21.7598  318.932  39.4583
205.208  51.948  105.741  63.501
207.637  -9.54126  326.287  50.6296
203.095  -5.45293  321.341  55.9478
205.625  6.33811  335.499  65.9263
203.461  19.5515  357.237  77.6751
205.397  -38.1578  313.665  23.6656
204.221  32.7796  65.5391  78.6594
204.454  -58.7997  308.912  3.53171
205.276  3.8114  332.041  63.8392
205.363  -40.7287  313.057  21.1569
204.451  -29.7214  314.809  32.0779
205.661  -45.8912  312.159  16.0602
202.795  -29.0133  313.296  33.0567
207.831  11.3132  347.471  68.8315
206.831  -7.09548  326.5  53.1989
203.038  -23.0811  314.971  38.8364
207.731  -13.093  324.541  47.2665
202.218  -31.2847  312.245  30.9086
206.452  -40.5705  313.958  21.1335
208.167  -54.987  311.7  6.83798
205.186  41.8949  91.7545  72.1197
205.515  -54.0178  310.395  8.11795
202.475  -37.9563  311.232  24.2942
200.559  -44.7342  308.661  17.7942
206.336  2.46707  332.837  62.1664
206.475  -10.9542  323.856  49.6912
204.115  17.9089  353.652  76.1181
206.82  -22.7698  319.394  38.3093
202.163  -30.2431  312.397  31.9431
207.161  -23.035  319.684  37.9679
205.161  -14.0057  320.626  47.1677
208.85  13.5035  353.731  69.7804
204.865  -15.2953  319.714  46.005
202.334  7.15466  328.889  68.0948
207.104  3.68597  335.532  62.8929
203.759  -43.6057  311.228  18.5619
205.566  1.87675  330.812  61.9647
201.837  19.3664  351.526  78.6815
206.793  3.69718  334.944  63.0504
204.719  -16.675  319.007  44.7102
204.496  -26.6287  315.654  35.0897
207.509  14.8783  353.935  71.6716
205.206  -17.3509  319.389  43.9363
203.671  -30.2606  313.901  31.6876
208.375  31.9357  56.2542  75.6865
204.521  -38.7963  312.792  23.1799
207.406  14.9687  353.921  71.8056
205.6  12.7102  345.03  71.2853
205.039  -50.7357  310.753  11.3939
203.707  -42.6255  311.373  19.5332
205.57  -3.3559  326.804  57.1397
206.229  -58.2009  309.94  3.94051
208.115  -20.6526  321.669  39.9876
208.518  -11.3295  326.538  48.6493
205.787  10.7378  341.988  69.5859
211.122  -25.3224  323.072  34.6751
205.576  20.5471  6.1198  76.6479
206.473  -14.5957  322.149  46.2334
205.04  -33.4132  314.47  28.3638
202.705  -1.98559  322.528  59.3788
207.821  -54.3656  311.65  7.48894
204.405  17.831  354.199  75.8646
204.6  -39.1445  312.783  22.8264
203.274  -48.179  310.064  14.1143
205.635  -25.8145  317.104  35.6463
203.063  -37.5505  311.811  24.6159
206.491  -40.6565  313.968  21.043
209.171  3.07028  338.691  61.3259
204.886  -41.2385  312.569  20.7306
208.47  6.10251  340.958  64.2603
205.933  19.8783  4.51094  76.0036
207.054  -5.24769  328.011  54.8346
207.608  -33.7132  316.745  27.5703
206.36  0.543191  331.149  60.4212
204.094  -26.2647  315.321  35.5229
205.776  -10.7246  322.959  50.1265
206.851  -50.8871  311.864  11.0106
206.59  -47.5803  312.434  14.2748
206.639  -40.4829  314.128  21.1867
206.977  -44.7289  313.364  16.9952
204.929  -32.9694  314.474  28.8172
207.026  18.3472  1.93792  74.2786
205.433  27.0368  35.3292  78.8095
204.464  -11.1407  320.848  50.1086
206.394  -25.8964  317.892  35.3969
206.699  -29.6805  317.057  31.6674
206.978  -27.2182  318.089  33.985
204.243  -61.8396  308.27  0.558612
204.015  -23.1271  316.084  38.6016
202.32  -15.1342  316.314  46.7513
206.787  -0.0994305  331.381  59.6584
205.2  -27.763  316.086  33.844
205.913  47.4923  99.7166  67.2145
205.657  -30.6985  315.749  30.8952
205.589  -51.3953  310.967  10.6794
207.378  -17.6718  322  43.0385
203.754  -49.9595  310.073  12.3064
207.025  29.3184  46.1894  77.3362
202.38  -40.6934  310.676  21.6043
207.038  -29.8165  317.351  31.4613
205.525  -34.0272  314.765  27.677
205.338  -7.85617  323.751  52.9852
203.893  -36.9249  312.652  25.1117
206.792  -12.9881  323.312  47.6653
205.158  -53.7508  310.239  8.42069
206.999  -56.5879  310.69  5.42864
205.588  35.9777  75.3408  76.0241
206.604  -36.8598  315.004  24.719
205.677  -3.34698  326.993  57.1093
205.946  -22.264  318.57  39.0121
206.69  -28.0994  317.521  33.1994
202.693  -29.0458  313.184  33.0411
206.816  -35.36  315.581  26.1359
202.365  -33.8275  311.895  28.3811
207.412  -32.2248  316.997  29.0511
205.324  -12.8189  321.353  48.2607
208.777  -25.1932  320.667  35.4753
203.691  -54.9111  309.178  7.43366
203.314  -24.9217  314.812  36.9828
204.508  18.3181  355.961  76.1199
204.821  -41.4378  312.476  20.5448
205.647  -9.62  323.313  51.2155
206.733  -12.7285  323.355  47.9296
209.142  -46.4725  314.452  14.9362
