#  RA  Dec  l  b
204.463  -44.2969  311.621  17.7896
206.129  -38.1981  314.269  23.5015
204.729  -28.8025  315.324  32.9234
208.164  -15.8253  323.801  44.5505
198.938  17.2017  333.686  78.5938
202.435  2.438  324.923  63.6617
205.311  -55.8961  309.91  6.29857
205.79  -45.9783  312.232  15.9565
206.35  -45.223  312.798  16.6117
208.478  -16.7298  323.78  43.5975
204.989  -47.8632  311.286  14.2191
203.463  -11.0004  319.425  50.5075
205.854  -3.29835  327.328  57.0901
206.036  -26.0057  317.475  35.3724
208.85  2.39925  337.41  60.9137
203.689  20.6151  361.883  78.1564
206.629  29.6381  407.859  77.6367
204.82  -21.2388  317.588  40.2667
204.162  -45.6467  311.14  16.5026
204.633  -30.6262  314.764  31.1605
204.409  -46.0705  311.235  16.0543
206.657  0.543706  331.693  60.2956
205.071  -40.6121  312.85  21.3162
203.939  -39.8886  312.087  22.1932
201.997  -30.7525  312.131  31.465
207.469  -31.9228  317.139  29.3307
204.539  -41.3226  312.278  20.6991
203.758  -3.47558  323.569  57.6382
205.343  -42.7231  312.605  19.208
203.273  -11.072  319.112  50.4858
205.09  -54.1276  310.127  8.05849
203.177  -45.3985  310.475  16.8673
206.058  -26.9496  317.214  34.4529
205.457  -37.5763  313.851  24.2239
204.31  -38.6179  312.654  23.3869
205.614  11.3075  342.534  70.1501
206.134  -12.1843  322.777  48.6299
206.495  -19.3791  320.239  41.6515
204.245  -49.3567  310.503  12.8436
207.015  35.3225  430.554  75.4076
204.678  20.5187  363.988  77.3388
204.064  7.74343  333.699  67.896
203.446  8.45215  333.1  68.8056
203.918  3.27419  328.735  63.9066
205.289  -11.4947  321.891  49.5372
207.136  -53.2678  311.504  8.6499
204.501  33.0699  426.295  78.318
205.753  -9.19053  323.69  51.5898
205.182  -29.2629  315.661  32.3867
204.992  -21.8593  317.595  39.6259
206.28  5.70387  336.128  65.0555
204.322  -4.63844  323.873  56.3569
207.644  -45.0335  313.77  16.5892
206.485  -37.8052  314.664  23.8209
206.481  24.7448  384.956  77.5272
202.382  -46.4872  309.725  15.8809
208.171  -35.2009  316.817  26.0132
208.313  -8.41051  327.937  51.434
204.417  -11.1964  320.754  50.0681
201.23  -18.163  314.008  43.9869
206.005  -32.3382  315.645  29.2312
203.606  -21.6578  316.023  40.118
206.779  -21.7807  319.695  39.2709
207.949  -29.9343  318.207  31.1399
205.024  3.18972  330.934  63.3839
206.238  -22.6047  318.789  38.6129
204.901  41.9105  452.334  72.2377
207.516  -58.6275  310.507  3.37846
204.057  23.3318  374.835  79.1885
203.582  -25.0789  315.07  36.7791
204.721  -24.7344  316.423  36.8905
205.223  21.725  369.947  77.5226
207.379  -26.5143  318.734  34.568
204.272  -5.91516  323.077  55.1603
205.686  -54.762  310.345  7.36876
203.989  -22.1335  316.337  39.5759
207.584  -34.8133  316.41  26.5113
205.114  -22.0288  317.683  39.4341
207.772  22.1063  375.833  75.5552
205.411  -13.7131  321.091  47.38
204.17  -36.7192  312.936  25.2715
204.935  -53.0986  310.233  9.08625
205.897  -4.67711  326.496  55.7896
204.175  -29.7393  314.528  32.1105
206.542  -9.72563  324.586  50.8297
205.049  43.8045  455.557  70.6413
208.934  3.07368  338.272  61.4514
206.417  9.92953  342.119  68.5688
203.359  17.1204  349.213  76.0586
201.238  6.67843  325.708  68.0552
206.028  -17.2972  320.456  43.7741
207.09  -45.2241  313.328  16.4946
208.086  -9.10674  327.189  50.873
204.724  -21.2267  317.478  40.3
203.041  43.8384  459.388  71.3812
206.36  -26.3887  317.703  34.9284
205.319  -52.4822  310.583  9.64678
204.808  -52.9263  310.189  9.2699
204.749  -29.4407  315.179  32.2968
204.955  -41.7922  312.506  20.1775
208.079  -47.253  313.523  14.362
204.652  -24.7528  316.342  36.8868
205.149  -12.9874  321.036  48.148
203.229  5.1589  328.977  65.9102
203.833  -7.91548  321.349  53.3788
205.985  -24.2039  317.981  37.128
204.645  19.465  360.085  76.7502
206.773  -53.5246  311.233  8.44681
203.857  -33.6562  313.317  28.3261
203.727  -17.2157  317.529  44.4197
206.96  9.44507  342.553  67.865
207.073  4.35599  336.193  63.4935
204.859  -12.314  320.912  48.8742
208.566  -5.27982  330.371  54.2096
205.415  -37.4833  313.837  24.3219
204.212  7.05141  333.216  67.2129
206.383  -32.3635  315.993  29.1317
204.518  14.0105  344.915  72.9581
203.476  -40.06  311.677  22.0888
204.749  -8.54855  322.48  52.508
204.944  -45.2713  311.776  16.768
204.546  -25.357  316.055  36.3199
205.057  8.14315  336.497  67.7761
206.574  -51.5572  311.543  10.3941
205.491  -33.9203  314.761  27.7874
205.519  -3.30088  326.753  57.2093
207.994  16.67  359.294  72.5186
206.499  -29.9866  316.771  31.414
205.032  -28.7503  315.646  32.9157
204.753  31.9566  420.796  78.591
207.731  -41.3039  314.779  20.1944
206.079  -30.2427  316.286  31.2532
204.57  12.8177  342.679  71.9723
202.804  1.81261  325.23  62.9487
203.206  -8.87414  319.923  52.6262
204.596  -0.0998218  327.344  60.5267
203.77  -20.2127  316.642  41.4936
205.329  -38.0757  313.627  23.7572
203.235  -29.7326  313.584  32.2786
203.312  -11.3689  319.052  50.189
208.355  -37.4407  316.331  23.8122
206.481  11.3846  344.665  69.7089
205.065  3.21637  331.041  63.3911
207.151  -49.0934  312.463  12.7166
205.378  -8.54761  323.451  52.317
207.409  5.63441  338.32  64.4292
205.96  -47.2417  312.078  14.6965
204.74  -28.7294  315.353  32.9928
204.456  -23.5732  316.46  38.0762
202.543  -9.90793  318.463  51.7913
208.269  -20.8314  321.776  39.7732
206.216  5.14074  335.355  64.5938
204.612  -50.2267  310.578  11.9451
206.447  -53.3761  311.074  8.6334
208.999  -41.3258  315.754  19.9321
207.734  -11.0318  325.607  49.2016
207.019  -23.6389  319.315  37.4235
205.056  -7.91791  323.278  53.0151
204.181  -55.1722  309.412  7.12802
203.354  -16.1704  317.382  45.5197
206.155  -36.4021  314.733  25.247
208.227  -39.9813  315.52  21.3821
209.221  -56.4432  311.921  5.28101
203.131  -13.3163  318.058  48.3444
204.95  -35.9417  313.791  25.9074
208.197  -5.76836  329.462  53.912
205.152  -24.0645  317.098  37.4502
205.447  -22.5805  317.892  38.8233
203.266  -58.5322  308.347  3.90055
203.805  -43.3473  311.312  18.8102
205.234  -17.9106  319.221  43.3892
205.312  -40.061  313.164  21.8182
210.137  -37.6593  317.747  23.215
200.936  -38.4674  309.839  23.9702
207.61  22.7484  378.016  75.9375
201.746  -39.4142  310.37  22.943
208.747  0.549269  335.404  59.3529
207.64  -40.9575  314.798  20.5472
206.268  -14.4735  321.929  46.4095
205.172  -18.2349  319.026  43.0918
206.016  -27.5545  316.991  33.8756
203.801  -51.3209  309.864  10.96
204.94  -46.7808  311.468  15.2877
204.609  -23.1052  316.771  38.4996
207.307  -22.7862  319.937  38.1688
205.126  -9.74983  322.468  51.2504
208.651  12.7962  351.915  69.4105
205.305  -50.2765  311.013  11.8116
206.73  1.1744  332.382  60.8327
207.445  -38.278  315.342  23.1828
205.443  22.9859  375.707  77.8791
203.094  -23.7878  314.853  38.1338
205.079  -39.8695  313.018  22.0423
202.791  -39.4345  311.232  22.7955
204.472  11.7367  340.484  71.1379
207.419  -20.0257  321.099  40.7817
205.49  -26.4837  316.752  35.0277
204.729  -34.2549  313.984  27.5951
204.118  1.92124  327.994  62.5803
205.489  -6.01572  325.014  54.6748
207.086  -27.5616  318.092  33.6285
207.736  -50.6635  312.47  11.102
204.923  -28.6512  315.561  33.0337
205.679  -8.26109  324.064  52.4931
204.904  -14.1928  320.198  47.0566
203.531  -13.8921  318.414  47.6916
207.923  -15.1763  323.792  45.24
206.504  -23.1339  318.911  38.0376
209.97  4.24329  341.433  61.885
206.839  9.67047  342.638  68.1182
205.772  -43.9721  312.655  17.9216
204.001  -7.95361  321.599  53.2945
207.14  -37.879  315.194  23.628
205.867  -17.4764  320.182  43.6449
202.239  -15.9077  315.966  46.0117
205.294  -47.6582  311.535  14.3802
207.45  -56.3259  310.992  5.62882
207.151  30.0671  409.474  77.1225
201.899  -24.8578  313.247  37.288
206.597  33.8172  425.758  76.4196
206.296  -21.3272  319.296  39.8297
201.859  -17.3674  315.039  44.6558
206.614  -12.4626  323.315  48.2188
205.612  -23.2841  317.857  38.1039
206.394  5.82819  336.507  65.1079
206.138  -42.8411  313.182  18.9701
205.071  -10.0254  322.253  51.004
207.602  12.4327  349.038  69.8306
206.107  -39.3914  313.963  22.3418
202  -12.1318  316.833  49.7499
202.935  38.4757  448.821  75.8613
207.219  -33.8521  316.353  27.5173
203.816  -39.8786  311.99  22.2203
205.04  -29.9915  315.328  31.7039
208.155  -7.6174  328.193  52.2268
205.343  12.1734  343.411  71.0072
208.445  -48.4504  313.469  13.1407
205.087  -43.2709  312.295  18.7091
206.789  7.6933  339.676  66.5034
210.06  -35.347  318.418  25.4462
206.595  -4.03416  328.075  56.1311
206.49  37.5329  438.516  74.5105
207.067  29.1649  405.476  77.3164
202.428  -36.9711  311.369  25.2722
206.078  -7.68957  324.991  52.9017
208.301  -37.2755  316.333  23.9826
205.095  8.33014  336.831  67.9194
206.739  5.00126  336.253  64.219
204.132  -37.9709  312.639  24.0486
207.66  -27.9098  318.568  33.1571
207.127  -13.3727  323.588  47.1963
205.015  -32.1707  314.751  29.5819
205.504  -37.0196  314.021  24.7599
205.52  -19.5071  319.008  41.7776
204.203  4.52496  330.499  64.9388
205.115  -1.40917  327.345  59.1184
203.499  -20.8892  316.114  40.89
205.762  -35.6403  314.578  26.0607
208.292  -12.3997  325.655  47.729
204.112  -14.7168  318.914  46.7527
201.853  -59.0796  307.54  3.46926
204.839  6.39563  333.862  66.3453
205.435  13.9066  347.023  72.3199
206.3  -8.52452  324.87  52.0414
204.545  -48.1096  310.938  14.0335
206.131  -0.718992  329.697  59.3649
202.724  -40.2583  311.03  21.9915
201.778  -51.3068  308.594  11.1717
208.498  -54.5449  311.993  7.22167
204.86  -12.2544  320.94  48.9309
204.083  12.8655  341.503  72.2852
207.825  -25.7485  319.46  35.1937
203.115  -26.6258  314.177  35.348
208.415  -27.1167  319.604  33.7316
206.41  -7.05795  325.868  53.3821
204.515  7.74337  334.745  67.6875
208.642  -40.6884  315.654  20.6176
205.585  -6.5493  324.861  54.1401
205.215  -31.848  315.022  29.86
208.288  19.9207  369.181  74.1429
203.058  -57.5148  308.401  4.92239
208.446  -10.425  326.943  49.517
203.914  2.52085  328.076  63.2127
206.669  12.6632  347.432  70.596
206.614  -41.3037  313.909  20.3915
206.375  -24.6412  318.271  36.6142
203.933  -23.9841  315.752  37.7818
204.351  -34.9974  313.471  26.9312
204.606  -9.27866  321.906  51.853
205.923  -26.949  317.072  34.483
206.379  -22.5744  318.96  38.6076
207.986  -52.591  312.165  9.19167
204.795  -33.7413  314.165  28.0861
204.815  0.563331  328.27  61.0595
202.985  38.6912  449.254  75.6701
204.626  -0.766436  326.911  59.8951
204.065  -11.2397  320.218  50.121
201.95  1.87246  323.488  63.283
209.147  -39.8813  316.279  21.2949
202.556  -33.6973  312.098  28.4824
206.429  -29.4797  316.849  31.9201
209.595  -4.34497  332.651  54.6166
205.097  46.1976  459.203  68.6113
207.063  -17.5712  321.649  43.2254
205.767  10.171  341.033  69.1293
208.483  -39.68  315.808  21.6231
204.768  -34.3662  313.993  27.4796
205.87  21.8956  371.887  77.0672
206.684  -33.8863  315.858  27.5928
204.407  0.546111  327.473  61.1968
208.543  -17.067  323.708  43.2585
205.157  20.8858  366.481  77.1596
204.745  0.554145  328.128  61.0777
202.903  18.9492  353.489  77.6685
204.333  29.7129  409.981  79.5887
204.6  -12.5062  320.462  48.7598
209  14.8563  356.93  70.6033
206.119  -35.9883  314.805  25.6568
202.993  16.5295  346.525  75.8432
206.14  21.603  371.234  76.7118
207.131  -34.9828  315.961  26.4396
205.234  -24.0942  317.181  37.4033
207.455  -17.123  322.328  43.5381
207.364  -31.0142  317.31  30.2316
202.547  -35.417  311.761  26.7889
202.821  -4.76063  321.219  56.6891
204.657  26.3549  391.403  79.4396
204.168  -40.5421  312.141  21.5186
205.353  31.8318  419.309  78.1612
204.291  -30.6099  314.433  31.2378
204.32  37.4888  442.798  75.8398
203.235  -52.2395  309.357  10.113
205.883  -21.5666  318.731  39.7007
204.486  -31.4051  314.431  30.4254
203.561  -31.4568  313.521  30.5326
204.438  7.82804  334.675  67.7978
208.765  -30.0603  318.958  30.8229
205.627  -20.0947  318.932  41.1842
207.65  -53.66  311.716  8.19879
205.74  -41.8666  313.099  19.9848
208.036  -50.7632  312.635  10.9604
205.512  -33.5706  314.867  28.1247
204.295  -51.395  310.16  10.8328
209.443  -31.9247  318.983  28.8702
208.244  -41.1604  315.215  20.238
206.464  -0.745879  330.272  59.2055
207.66  -28.0161  318.533  33.0548
201.285  -50.5363  308.387  11.9776
202.467  -12.0681  317.543  49.7096
204.847  12.3782  342.562  71.4579
209.221  -42.1529  315.692  19.0905
208.114  -30.3947  318.221  30.6581
205.099  -34.6713  314.221  27.1241
203.46  -1.3895  324.309  59.7099
206.355  -4.05224  327.665  56.2042
205.015  -39.508  313.045  22.4063
210.016  -24.3482  322.308  35.927
201.107  -34.6819  310.581  27.6988
206.337  -27.2168  317.425  34.1323
204.745  -25.9855  316.097  35.667
204.148  -24.5053  315.851  37.2304
206.015  -34.9871  314.966  26.6511
207.653  2.51726  335.362  61.6043
205.493  -3.29777  326.711  57.2215
205.896  6.29813  336.026  65.7606
204.595  -18.1509  318.328  43.3123
204.926  -38.8069  313.126  23.1067
205.906  42.7809  452.169  71.0943
203.127  -22.058  315.345  39.821
205.85  18.5275  359.911  75.275
203.629  -23.8211  315.453  38.0003
208.453  -28.2057  319.27  32.6785
209.09  8.74283  345.809  66.0497
208.008  -50.6182  312.652  11.1054
207.027  -49.3946  312.313  12.4413
206.535  -50.5961  311.729  11.338
202.992  22.2611  367.25  79.5926
207.769  8.15355  342.334  66.3485
