#  RA  Dec  l  b
209.305  12.342  352.331  68.6406
206.136  -27.1257  317.243  34.2651
205.477  -43.8423  312.465  18.0925
207.665  -53.5918  311.74  8.26306
206.076  -32.4426  315.684  29.1158
204.841  3.81367  331.151  64.02,,7
204.999  30.9634  55.6778  78.7238
205.169  22.0146  11.0349  77.7011
202.282  -43.0388  310.208  19.2993
205.647  49.1323  102.165  65.8832
204.329  -54.2466  309.663  8.02369
203.621  -8.0469  320.95  53.3115
203.347  -27.2787  314.268  34.6672
206.692  -47.0961  312.613  14.732
202.464  17.5077  347.581  76.9161
206.397  -20.6669  319.648  40.4397
206.881  -12.1948  323.817  48.3885
206.94  -26.5977  318.247  34.5927
207.25  -49.9131  312.338  11.9036
204.717  -45.665  311.534  16.4123
206.675  -6.60246  326.553  53.7147
204.659  -25.564  316.121  36.0953
205.811  -25.3011  317.449  36.1052
206.978  -55.334  310.954  6.65472
208.544  12.466  351.059  69.2408
206.221  -62.3053  309.09  -0.075098
203.932  19.9872  0.120253  77.6001
202.887  2.5397  325.958  63.6031
203.216  5.76752  329.546  66.474
206.513  -57.327  310.271  4.76358
204.232  -4.12731  324.016  56.8699
198.619  -44.7771  307.217  17.9025
204.267  -20.8483  317.05  40.7684
204.989  -37.7491  313.413  24.1324
205.921  -31.9113  315.678  29.6632
204.554  -30.0152  314.839  31.7719
208.136  -5.91116  329.271  53.8052
205.309  -40.8495  312.987  21.0471
202.783  -2.73914  322.238  58.6361
203.476  -29.0854  313.976  32.8733
206.357  -9.16547  324.609  51.4186
202.866  -50.089  309.475  12.2728
206.432  -31.8757  316.173  29.5955
203.676  20.4646  1.25647  78.0781
203.835  -19.3305  316.99  42.339
202.72  27.5095  37.6768  81.2336
203.403  -17.832  316.912  43.8913
205.219  -39.675  313.175  22.2106
205.197  6.29091  334.523  66.0871
207.52  23.224  19.7492  76.1797
207.51  24.4061  24.5289  76.5369
206.794  -43.3832  313.549  18.3356
208.072  -31.4674  317.846  29.6351
206.755  -24.8783  318.607  36.295
205.931  -51.3463  311.19  10.6844
201.769  -41.6793  310.028  20.7002
206.754  -0.100397  331.319  59.6718
205.755  1.2173  330.598  61.2863
205.278  -20.3044  318.441  41.0658
207.245  -29.0925  317.776  32.1144
204.079  -26.3639  315.278  35.4289
203.805  -35.8641  312.796  26.1669
207.932  -41.9275  314.772  19.553
206.096  -27.6811  317.037  33.7354
206.806  14.4155  351.352  71.819
205.308  -46.7567  311.73  15.2618
203.782  46.7641  102.124  68.5603
204.922  -34.9993  313.985  26.8339
204.1  -5.95749  322.769  55.1723
207.409  24.4233  24.4993  76.6302
205.955  17.9957  358.545  74.864
203.416  -24.3066  315.084  37.5659
206.836  28.5461  42.7123  77.5672
207.599  -14.2828  323.788  46.1867
204.755  -45.906  311.513  16.1706
211.081  19.4159  12.0207  71.5977
203.97  -39.3874  312.213  22.6813
204.929  -61.1931  308.708  1.1352
206.955  -55.7642  310.846  6.23781
208.978  -28.2803  319.77  32.4736
202.431  -13.4221  317.024  48.3986
203.237  -44.9277  310.602  17.3243
206.317  29.5654  47.706  77.916
205.394  -50.5858  311.008  11.4972
205.917  -28.694  316.56  32.791
205.044  10.9213  340.534  70.1479
203.7  14.7438  344.282  74.0229
206.635  -52.7202  311.327  9.2501
203.273  28.8405  45.8914  80.6494
202.926  31.9899  64.3833  79.9915
207.222  -20.9414  320.517  39.9595
206.69  -45.4275  312.994  16.3597
203.491  -17.5662  317.11  44.131
207.302  11.8997  347.397  69.6139
206.948  -25.2454  318.695  35.8946
207.312  -47.7485  312.884  14.0021
205.883  -11.5011  322.742  49.3557
206.871  -37.0531  315.182  24.4809
205.217  -44.2326  312.189  17.748
206.447  -5.27719  327.015  55.032
205.171  -36.0761  313.954  25.7385
205.863  -33.8153  315.128  27.8207
203.871  -29.661  314.241  32.241
204.477  8.39067  335.485  68.2735
208.385  -10.7058  326.7  49.2776
204.795  2.52336  329.867  62.8704
205.741  -16.8201  320.275  44.3086
205.771  -10.9777  322.829  49.8875
205.629  -22.4207  318.153  38.9358
205  -8.51413  322.886  52.4652
201.96  5.88639  326.732  67.0601
208.357  -21.1595  321.747  39.4357
205.966  24.1592  21.7255  77.8244
203.964  14.4942  344.464  73.6695
200.061  -35.6334  309.483  26.8711
204.901  -34.0272  314.194  27.7882
204.484  -14.5821  319.473  46.7901
204.034  -0.105447  326.272  60.7239
204.63  46.9643  101  68.1094
206.103  -10.2615  323.665  50.4647
208.579  -11.1316  326.732  48.8119
206.066  16.606  354.922  73.8688
202.445  -33.765  311.981  28.4315
204.359  -36.4454  313.16  25.5104
205.288  -43.5219  312.392  18.434
203.754  -33.6567  313.221  28.3422
207.087  -17.6361  321.653  43.1564
202.873  -49.2926  309.61  13.0585
204.996  27.227  36.2258  79.2071
208.323  36.0279  70.8555  74.1344
203.768  -46.5804  310.687  15.6326
204.052  -32.5612  313.744  29.3682
210.312  -20.087  324.448  39.849
207.876  -10.731  325.97  49.434
203.681  -7.15346  321.473  54.1519
207.567  -36.7328  315.861  24.6566
204.641  -9.88418  321.675  51.2637
204.666  -32.1546  314.423  29.6604
204.993  -34.5742  314.149  27.2374
204.066  -40.6327  312.042  21.444
205.946  -37.5688  314.267  24.1472
204.775  0.55764  328.189  61.0695
205.893  -16.8557  320.456  44.234
203.818  -26.5834  314.942  35.2633
207.547  -39.0041  315.234  22.4591
206.239  -12.0776  322.975  48.6993
208.509  -44.4012  314.554  17.0522
207.141  1.84531  333.761  61.249
204.334  -60.5691  308.537  1.80145
203.011  -31.8965  312.893  30.188
205.189  9.5121  338.699  68.8853
204.215  40.0528  89.746  74.0144
203.996  -15.208  318.576  46.3055
205.109  22.6913  13.8229  78.0448
208.178  -10.2171  326.681  49.8071
207.673  -41.6258  314.651  19.8927
204.86  -21.5672  317.531  39.9391
206.421  -29.8891  316.722  31.5251
205.496  -10.9583  322.44  49.9883
203.982  -33.369  313.497  28.5877
206.979  -44.2374  313.482  17.4733
201.303  -35.2665  310.663  27.0972
202.922  -47.0151  310.019  15.3014
207.272  -64.0336  309.184  -1.86485
203.754  -31.282  313.748  30.672
204.152  -41.3129  311.975  20.7636
205.108  -32.3041  314.806  29.4347
206.154  -28.7815  316.775  32.656
203.343  -36.9745  312.165  25.1437
205.142  -30.6312  315.263  31.0606
204.991  -38.808  313.18  23.0954
204.088  -17.8125  317.797  43.7583
205.934  -3.37252  327.414  56.9917
204.985  -24.5089  316.781  37.0543
208.441  2.46906  336.749  61.179
204.542  -39.4749  312.666  22.5112
205.42  -33.9063  314.699  27.8141
205.909  -10.24  323.391  50.5457
206.104  38.1371  80.9767  74.3611
208.301  -52.3592  312.41  9.37121
204.532  -12.37  320.422  48.9089
207.488  -46.0859  313.402  15.5919
206.765  -42.3213  313.781  19.3747
205.924  -33.1871  315.345  28.421
204.95  -36.2816  313.713  25.5748
204.14  -31.0777  314.172  30.8065
209.072  -60.1118  310.926  1.74853
205.395  -22.4227  317.883  38.9881
204.162  12.0673  340.266  71.5811
207.858  -8.44824  327.244  51.5682
205.285  -10.5081  322.342  50.4802
206.199  -24.3879  318.159  36.9002
205.345  -14.5455  320.656  46.5996
204.314  -13.2654  319.75  48.1037
